"","HHSTFIPS","TRAVDAY","WHYTRP90","period","tot_period","tot","prop"
"436","10",4,"Shopping",5,913899.97516,69467287.709797,1.32
"437","10",4,"work-related",3,3673317.26576,69467287.709797,5.29
"438","10",4,"School/Church",7,488274.93402,69467287.709797,0.7
"439","10",4,"Shopping",3,3276014.91901,69467287.709797,4.72
"440","10",4,"Other Fam / Business",5,407603.36168,69467287.709797,0.59
"441","10",4,"School/Church",5,1535505.6736,69467287.709797,2.21
"442","10",4,"Other",3,407603.36168,69467287.709797,0.59
"443","10",4,"Shopping",2,2404262.26646,69467287.709797,3.46
"444","10",4,"Other",2,200344.25805,69467287.709797,0.29
"445","10",4,"Visit Friends",3,5809099.7964,69467287.709797,8.36
"446","10",4,"Vacation",7,2738088.4492,69467287.709797,3.94
"447","10",4,"Vacation",8,2738088.4492,69467287.709797,3.94
"448","10",4,"Other Fam / Business",4,2451475.92624,69467287.709797,3.53
"449","10",4,"School/Church",3,1535505.6736,69467287.709797,2.21
"450","10",4,"work",6,572847.21971,69467287.709797,0.82
"451","10",4,"work",7,328883.70806,69467287.709797,0.47
"452","10",4,"Shopping",6,651860.25969,69467287.709797,0.94
"453","10",4,"Shopping",7,1469018.90177,69467287.709797,2.11
"454","10",4,"work",5,3567454.36468,69467287.709797,5.14
"455","10",4,"Visit Friends",4,2738088.4492,69467287.709797,3.94
"456","10",4,"Other Fam / Business",3,572847.21971,69467287.709797,0.82
"457","10",4,"School/Church",1,488274.93402,69467287.709797,0.7
"458","10",4,"Other",4,200344.25805,69467287.709797,0.29
"459","10",4,"Other Fam / Business",2,1535505.6736,69467287.709797,2.21
"460","10",4,"Other Social/Rec",5,5610446.488949,69467287.709797,8.08
"461","10",4,"Other Social/Rec",7,3218441.29734,69467287.709797,4.63
"462","10",4,"work",3,572847.21971,69467287.709797,0.82
"463","10",4,"Other Social/Rec",4,124139.75618,69467287.709797,0.18
"464","10",4,"Other Fam / Business",1,1390005.86179,69467287.709797,2
"465","10",4,"Visit Friends",5,2738088.4492,69467287.709797,3.94
"466","10",4,"Other Social/Rec",3,164036.400698,69467287.709797,0.24
"467","10",4,"work",1,5042032.51216,69467287.709797,7.26
"468","10",4,"Visit Friends",7,2738088.4492,69467287.709797,3.94
"469","10",4,"Visit Friends",8,2738088.4492,69467287.709797,3.94
"470","10",5,"work",8,2080335.03483,92609441.242313,2.25
"471","10",5,"Shopping",1,323778.699928,92609441.242313,0.35
"472","10",5,"work",4,1962502.09477,92609441.242313,2.12
"473","10",5,"work",2,891590.3607,92609441.242313,0.96
"474","10",5,"Other Fam / Business",2,178341.89753,92609441.242313,0.19
"475","10",5,"work",5,2213870.72972,92609441.242313,2.39
"476","10",5,"Medical",3,2248767.451707,92609441.242313,2.43
"477","10",5,"work",3,2349451.15999,92609441.242313,2.54
