"","HHSTFIPS","WHYTRP90","TRAVDAY","strt_hr","counts","tot","prop"
"35443","06","Other Social/Rec",7,21,13643161.377958,398715647.125594,3.42
"35444","06","Other Social/Rec",7,22,11389619.180317,398715647.125594,2.86
"35445","06","Other Social/Rec",7,23,5404745.834607,398715647.125594,1.36
"35446","06","Other",1,6,261851.2454,15106041.285373,1.73
"35447","06","Other",1,7,261851.2454,15106041.285373,1.73
"35448","06","Other",1,8,168325.726785,15106041.285373,1.11
"35449","06","Other",1,9,270100.33114,15106041.285373,1.79
"35450","06","Other",1,10,3119217.10458,15106041.285373,20.65
"35451","06","Other",1,11,409947.07033,15106041.285373,2.71
"35452","06","Other",1,12,510097.583668,15106041.285373,3.38
"35453","06","Other",1,13,1450989.51688,15106041.285373,9.61
"35454","06","Other",1,14,528792.36584,15106041.285373,3.5
"35455","06","Other",1,15,1387362.09054,15106041.285373,9.18
"35456","06","Other",1,16,3488100.96923,15106041.285373,23.09
"35457","06","Other",1,17,973406.81186,15106041.285373,6.44
"35458","06","Other",1,19,920964.13304,15106041.285373,6.1
"35459","06","Other",1,20,403371.10048,15106041.285373,2.67
"35460","06","Other",1,21,677517.54534,15106041.285373,4.49
"35461","06","Other",1,23,274146.44486,15106041.285373,1.81
"35462","06","Other",2,5,125313.416194,6699242.400928,1.87
"35463","06","Other",2,6,651959.88845,6699242.400928,9.73
"35464","06","Other",2,8,1880510.668533,6699242.400928,28.07
"35465","06","Other",2,10,1540643.554627,6699242.400928,23
"35466","06","Other",2,11,177783.62195,6699242.400928,2.65
"35467","06","Other",2,12,334400.997943,6699242.400928,4.99
"35468","06","Other",2,13,452282.74571,6699242.400928,6.75
"35469","06","Other",2,14,325090.74132,6699242.400928,4.85
"35470","06","Other",2,15,168557.36335,6699242.400928,2.52
"35471","06","Other",2,16,641737.84167,6699242.400928,9.58
"35472","06","Other",2,19,275648.144987,6699242.400928,4.11
"35473","06","Other",2,21,125313.416194,6699242.400928,1.87
"35474","06","Other",3,4,183035.41912,11510806.712608,1.59
"35475","06","Other",3,6,684026.04426,11510806.712608,5.94
"35476","06","Other",3,7,430765.0286,11510806.712608,3.74
"35477","06","Other",3,8,207875.64823,11510806.712608,1.81
"35478","06","Other",3,9,1529492.27578,11510806.712608,13.29
"35479","06","Other",3,10,1685721.656318,11510806.712608,14.64
"35480","06","Other",3,12,1786051.41323,11510806.712608,15.52
"35481","06","Other",3,13,1214288.2821,11510806.712608,10.55
"35482","06","Other",3,15,540420.2599,11510806.712608,4.69
"35483","06","Other",3,16,836894.06672,11510806.712608,7.27
"35484","06","Other",3,17,503308.324,11510806.712608,4.37
"35485","06","Other",3,18,564382.47388,11510806.712608,4.9
